"ID","SUBMITDATE","STARTLANGUAGE","397467X2X4SQ001","397467X2X6","397467X2X18SQ001","397467X2X20SQ001","397467X2X221","397467X2X222","397467X2X223","397467X2X225","397467X2X224","397467X2X781","397467X2X788","397467X2X782","397467X2X786","397467X2X784","397467X2X785","397467X2X783","397467X2X7811","397467X2X787","397467X2X789","397467X2X7810","397467X2X92","397467X2X93SQ001","397467X2X95","397467X2X96","397467X2X97","397467X2X33SQ001","397467X3X39","397467X3X50SQ001","397467X3X50SQ002","397467X3X50SQ003","397467X3X50SQ004","397467X3X247","397467X3X248","397467X3X249","397467X3X601","397467X3X602","397467X3X603","397467X3X604","397467X3X605","397467X3X606","397467X3X607","397467X3X608","397467X3X609","397467X3X6010","397467X3X6011","397467X3X55SQ001","397467X3X57SQ001","397467X3X401","397467X3X402","397467X3X404","397467X3X406","397467X3X407","397467X3X408","397467X3X409","397467X1X1","397467X1X2","397467X1X3","397467X1X3OTHER","397467X1X98","397467X1X100","397467X1X99","397467X1X179","397467X1X180"
"3","01-01-1980 00:00:00","en","3","2","3","1","1","1","1","1","1","2","4","2","1","1","1","1","8","1","1","1","1","10","4","1","2","2","1","1","4",,"1","1","2","3","5","1","10","9","4","10","10","6","10","9","5","10","2","3","5","9","2","3","5","6","2","1992.0000000000","A1",,"9","1","1","1","Youth For Future"
"4","01-01-1980 00:00:00","en","6","1","9","4","3","3","4","4","4","3","10","2","2","1","5","1","1","1","5","3","1","10","4",,,"7","2","2","3","4","2","1","1","1","4","1","10","9","5","10","10","8","9","10","2","6","2","8","5","7","9","1","3","6","1","1989.0000000000","A1",,"9","1","1","1","Y for Future + Sint"
"13","01-01-1980 00:00:00","en","6","2","4","5","2","2","3","2","2","5","5","10","1","3","1","2","1","1","1","1","1","10","2","1","1","3","2","2","3","3","2","3","3","1","5","5","5","5","5","5","5","5","5","5","5","10","6","2","1","2","2","4","4","1","1","1994.0000000000",,"Алхан-Кала","9","1","2","2",
"12","01-01-1980 00:00:00","en","10","2","5","5","2","2","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","10","4","1","1","7","2","1","3","3","2","1","1","1","1","10","10","10","10","10","10","10","10","5","10","5","5","1","1","1","1","1","5","5","1","1994.0000000000",,"Гврадейское","9","1","2","2",
"8","01-01-1980 00:00:00","ru","7","2","8","6","2","2","4","3","3","2","4","1","1","1","1","2","1","1","1","1","1","8","3","2",,"2","1","3","2","4","4","3","2","3","5","5","9","5","4","7","6","6","3","5","7","7","3","6","6","7","7","7",,"5","2","1993.0000000000",,"Казахстан, Алматы","9","2","2","2",
"9","01-01-1980 00:00:00","ru","6",,"10","4","2","4","2","2","2","6","5","2","1","1","1","3","1","1","1","1","1","10","3","1","1","4","3","4","2","4","2","1","2","3","1","1","10","6","1","10","10","7","10","10","1","10","2","5","4","5","3","3","5","8","2","1994.0000000000","A1",,"9","1","2","2",
"10","01-01-1980 00:00:00","ru","4","2","9","4","4","2","4","3","3","5","6","1","1","1",,"1","1","10","10","5","1","5","4","1","4","7","3","3","3","4","1",,"2","2","8","1","10","9","1","10","10","8","1","10","5","10","5","1","3","10","5","1","3","10","2","1995.0000000000","A1",,"7","1","2","1","Youth for future"
"11","01-01-1980 00:00:00","ru","2","1","7","3","3","2","4","3","3","1","5","2","4","1","8","1","1","5","10","5","3","1","4","1","3","1",,"3","2","4","1","3","4","3","8","1","10","8","1","10","8","2","10","10","1","10","2","5","8","6","4","2","2","5","2","1991.0000000000","A2",,"9","1","2","1","youth for future"
"14","01-01-1980 00:00:00","en","6","2","5","6","4","2","4","3","3","1","5","10","10","1","1","1","1","2","1","1","1","10","2","1","1","5","2","2","3","3","2","1","4","3","5","1","7","10","1","6","1","10","1","3","3","5","4","1","2","9","2","5","7","3","1","1994.0000000000","A1",,"9","1","2","2",
"15","01-01-1980 00:00:00","en","7","2","7","5","3","2","3","2","3","4","5","1","1","1","1","1","4","3","1","1","1","10","3","1","1","2","3","2","3","2","2","1","1","1","7",,"5","8","4","4","4","5","5","7","7","7","4","1","1","5","1","1","2","2","1","1994.0000000000",,"mesker jurt","9","1","2","2",
"16","01-01-1980 00:00:00","en","1","2","3","6","4","2","1","1","1","5","10","10","1","1","1","5","1","1","1","1","1","10","1","1","1","5","3","4","1","4","2","1","4","4","1","6","10","10","10","5","6","4","5","1","10","10","1","5","1","10","4","1","6","4","2","1991.0000000000","A1",,"8","1","1","1","niiso"
"17","01-01-1980 00:00:00","en","10","2","10","10","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","1","1","10","3","1","3","4","3","1","3","3","2","1","3","10","1","10","10","10","1","1","10","5","7","1","1","10","1","10","1","1","1","1994.0000000000",,"rural","9","1","2","2",
"18","01-01-1980 00:00:00","en","6","2","1","5",,,,,"3",,,"3",,,,,"1",,,,"1","10","1","1","1","3","1","1",,,,"4","1","1",,"3",,,,,,"10",,,,"10","8","1","2",,,,"4",,"1","1992.0000000000","A1",,"9","1","2","2",
"19","01-01-1980 00:00:00","en","7","2","5","7","3","2","2","3","3",,"3",,"4","4","1","1","1","1","1","1","1","10","2","1","1","6","3","2","3","3","2","1","2","4","8","1","10","10","1","10","10","7","8","10","10","10","8","3","5","8","7","5","1","5","1","1992.0000000000","A1",,"9","1","2","2",
"20","01-01-1980 00:00:00","en","5","2","4","7","3","3","3","3","3","1","2","2","1","1","1","1","1","1","4","1","1","10","2","1","1","2","2","3","3","4","1","3","1","3","10","2","10","10","10","1","10","10","10","10","10","10","1","1","1","1",,,"2","3","1","1994.0000000000",,"rural","9","1","2","2",
"21","01-01-1980 00:00:00","en","5","2","5","5","3","1","3","2","3","3","5","4","1","1","1","1","4","6","1","1","1","10","1","2","1","2","1","2","3","2","1","3","1","1","5","3","2","7","4","2","6","2","4","7","5","6","4","1","1","4","1","1","2","2","1","1993.0000000000",,"rural","9","1","2","2",
"22","01-01-1980 00:00:00","en","2","2","4","4","2","3","3","3","3","4","5","5","1","1","1","2","2","3","5","1","1","10","2","1","1","2","3","3","3","4","2","1","2","1","5","5","6","7","4","5","7","4","4","4","5","6","5","5","6","6","5","6","4","6","1","1994.0000000000",,"rural","9","1","2","2",
"23","01-01-1980 00:00:00","en","2","2","3","5","2","1","1","2","1","1","5","1","1","1","1","1","1","1","1","1","1","10","4","1","1","5","4","2","3","4","2","4","1","1","10","1","3",,"7","1","5","2","7","2","10","5","5","8","9","5","5","5","9","5","1","1994.0000000000",,"rural","9","1","2","2",
"24","01-01-1980 00:00:00","en","9","2","5","10","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","1","1","7","1","3","3","2","2","1","1","3","10","1","3","5","8","1","5","2","7","2","10","6","10","8","9","5","5","5","9","5","1","1993.0000000000",,"rural","9","1","2","2",
"25","01-01-1980 00:00:00","en","7","2","8","10","2","3","3","2","2","5","5","6","2","1","1","1","7","1","10","1","1","10","2","1","1","4","2","2","3","3","2","1","1",,"10","10","5","10","7","5",,"10","10","10","10",,,"10","10","7","7","8","6","10","1","1992.0000000000","A1",,"9","1","2","2",
"26","01-01-1980 00:00:00","en","10","1","7","3","2","2","3","2","3","3","7","2","1","1","1","1","1","1","1","1","1","10","2","1","1","6","3","2","1","3","2","1","1","1","7","3","4","7","5","7","3","10","9","7","8","8","6","1","5","10","2","2","5","3","1","1994.0000000000",,"rural","9","1","2","2",
"27","01-01-1980 00:00:00","en","10","2","6","8","2","2","2","4","4","2","5","2","1","1","1","2","1","3","1","1","1","10","2","1","1","10","3","1","1","2","2","3","1","4","5","3","5","2","1",,"3",,"2","4","4","5","5","8","2","10","5","1","6","6","1","1994.0000000000",,"rural","9","1","2","2",
"28","01-01-1980 00:00:00","en","10","1","5","5","1","1","2","1","3","7","2","2","1","1","1","1","1","1","1","1","1","10","2","1","2","9","2","1","2","4","2","1","1","2","1","10","1","1","10","1","1","7","1","8","1","5","10","8","5","7","7","2","2","6","2","1994.0000000000",,"city","9","1","2","1","Youth Parliament"
"29","01-01-1980 00:00:00","en","7","2","5","5","3","3","3","2","3","5","4","1","1","1","1","5","1","1","1","1","1","10","2","1","1","8","3","2","3",,"2","3","2","1","5","1","10","2","1","1","6","7","8","6","5","10","5","5","5","5","9","4","3","3","2","1985.0000000000","A1",,"9","2","2","1","Youth Parliament"
"30","01-01-1980 00:00:00","en","9","2","5","5","2","2","3","2","3","1","3","2","1","1","1","1","1","1","1","1","1","10","3","1","3","5","1","2","2","4","3","1","1","3","5","1","10","10","1","10","10","10","10","6","10","10","7","10","6","10","8","2","1","4","2","1993.0000000000","A1",,"9","1","2","1","Youth Parliament"
"31","01-01-1980 00:00:00","en","9","2","5","5","2","2","3","2","3","1","3","2","1","1","1","1","1","1","1","1","1","10","3","1","3","5","1","2","2","4","3","1","1","3","5","1","10","10","1","10","10","10","10","6","10","10","7","10","6","10","8","2","1","4","2","1993.0000000000","A1",,"9","1","2","1","Youth Parliament"
"32","01-01-1980 00:00:00","en","10","2","5","8","4","2","4","4","2","1","5","2","1","1","1","1","1","1","1","1","1","10","2","1","1","8","1","3","2","2","2","1","4","2","10","1","5","10","5","10","10","10","6","10","10","6","6","5","5","5","10","5","5","4","1","1994.0000000000","A1",,"9","1","1","1","Youth Parliament"
"33","01-01-1980 00:00:00","en","8","2","7","7","4","2","1","2","2","6","5","10","1","4","1","6","1","6","2","1","1","10","3","1","1","7","1","4","3","2","1","3","4","3","1","5","5","9","9","5","4","10","9","3","2","10","4","1","1","10","1","10","1","1","2","1992.0000000000",,"Paris","8","1","2","1","Youth Parliament"
"34","01-01-1980 00:00:00","en","7","1","5","5","1","1","2","2","2","5","5","5","1","1","1","1","1","1","1","1","1","10","1","1","1","5","1","1","2","4","1",,,"3","5","1","10","10","5","10","10","10","10","10","10","10","10","1","10","10","5","1","1","1","2","1992.0000000000",,"rural","9","1","1","1","Youth Parliament"
"35","01-01-1980 00:00:00","en","10","2","7","3","1","1","4","1","1",,"1","1","6","1","1","1","3","3","1","1","1","10","4","1","1","7","2","2","2","4","1","4","1","3","10","5","10","1","10","2","3","10","10","6","6","7","1","1","5","5","3","3","1","10","2","1990.0000000000","A1",,"9","1","1","1","English Club"
"36","01-01-1980 00:00:00","en","10","1","10","10","2","2","3","1","3","1","1","1","1","1","1","1","1","1","1","1","1","10","2","1","1","8","1","2","4","4","2","1","2","4","10","7","10","10","10","9","10","6","10","10","5","10","9","1","1","10","10","1","1","1","1","1991.0000000000","A1",,"9","1","2","1","English Club"
"37","01-01-1980 00:00:00","en","7","2","9","3","1","3","3","2","4","1","8","3","1","1","1","8","1","1","8","1","1",,"4","1","1","7","4","4","4","4","1","1","1","4","3","3","10","10","3","10","10","10","10","10","10","10","5","1","9","10","2","1","1","5","1","1984.0000000000",,"Jakutia","9","2","1","1","English Club"
"38","01-01-1980 00:00:00","en","6","2","9","5","3","2","4","2","3","5","6","2","1","1","1","1","1","1","1","1","1","10","2","1","1","5","1","4","2","3","2","1","2","3","5","6","9","7","2","9","8","4","9","8","8","8","3","3","9","9","2","1","9","9","2","1988.0000000000","A1",,"9","2","1","1","Союз чече молодежи"
"39","01-01-1980 00:00:00","en","6","1","9","5","2","3","4","3","3","1","5","1","1","1","1","1","1","1","1","1","1","10","2","1","1","7","2","3","3","4","2","1","3","3","6","5","10","6","2","10","10","9","10","10","10","9","4","9","5","8","8","8","8","2","2","1989.0000000000",,"Нальчик",,,,"1","English Club"
"41","01-01-1980 00:00:00","en","1","2","2","8","4","3","3","3","3","1","1","1","1","2","1","2","1","1","6","1","1","10","4","1","3","1","3","3","3","4","1","1",,,"7","9","10","10","1","10","10","7","7","9","1","10","1","5","10","10","10","9","1","1","1","1993.0000000000","A1",,,,,,"Sacita"
"42","01-01-1980 00:00:00","en","5","1","6","10","3","4","3","2","4","1","1","1","1","1","1",,"1","1",,"1","1","10","3","1","2","7","2","2","2","4","1",,,,"9","9","9",,,,,,,,,"10","1","10","10","10","10","10","10","1","1",,"A1",,,,,,"Sacita"
"43","01-01-1980 00:00:00","en","8","1","10","10","2","3","4","4","2","9","6","5","5","1","1","1","1","5","1","1","1","10","4","1","2","1","1","2",,"4","3","1","2","3","1","1","10","10","1","10","10","10","10","10","10","9","1","1","1","10","1","1","10","10","1",,,,,,,,"Sacita"
"44","01-01-1980 00:00:00","en","2","2","7","5","3","1","3","2","3","5","5","3","2","1","1","7","1","1","5","1","1","10","4","1","2","1","2","2","2","3","3","1","3","1","5","3","5","5","2","7","8","7","2","6","8","7","1","8","8","7","1",,"9","3","1",,"A1",,,,,,"Sacita"
"45","01-01-1980 00:00:00","en","10","2","10","10","1","3","2","3","3",,,"10","1","1","1","10","1","1","1","1","1","10",,"1","1","10","3",,,,,"1","4","1",,,,,,,,,,,,"10","10","1",,,,,,,"1","1979.0000000000","A1",,,,,,"Sacita"
"47","01-01-1980 00:00:00","ru","7","2","5","5","4","2","3","2","4","3","7","1","1","1","1","2","3","1","1","1","1","10","3","1","1","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1984.0000000000","A1",,"9","2","1","1","молодежный парламент"
"48","01-01-1980 00:00:00","ru","5","2","7","5",,"1","2","1","2","3","1","2","1","1","1","2","2","1","1","1","1","10","3","1","2","3","1","3","3","4","2","1","2","2","3",,"10","10","3","10","10","8","8","4","10","10","1","1","10","10","1","1","1","10","2","1984.0000000000",,"Самашки","9","2","1","1","Молодежный парламент"
"50","01-01-1980 00:00:00","en","7","1","4","8","4","2","3","2","2","3",,"3",,"1",,"2","1","1","2","1","1","10","2","1","1","10","3","2","1","2","2","3","2","4","10","6","8","6","4","6","5","7","5","3","6","4","4","4","7","6","5","5","7","6","2","1995.0000000000",,"rural","5","2","2","1","Putin"
"51","01-01-1980 00:00:00","en",,"2",,,"2","2","1","1","1",,,"2","1",,"1","1","1","1",,"1","1","10","3","1","1",,"1","1","2","1","2","1","1","1","1",,"1","1","2","1","1",,,"1",,"1","1","10","10","7","6","5","5","9","2","1992.0000000000","A1",,"2","2","1","1","Putin"
"52","01-01-1980 00:00:00","en","10","1","7","9","2","1","1","1","1",,"3",,"2",,"1","1","3",,"2","3","1","10","2","1","1","8","1","1","2","3","2","1","2","1","1","2","3","2","3","5",,"4","2","4","6","8","9","1","1","3","2","4","3","4","2","1993.0000000000","A1",,"9","1","1","1","Putin"
"53","01-01-1980 00:00:00","en","9","2","10","5","3","3","3","2","4","1","5","1","1","1","1","1","1","1","2","1","1","10","3","1","1","3","3","1","3","3","1","1","4","3","1","5","3","1","3","6","3","5","3","6","5","10","1",,,,,,,,"1","1994.0000000000",,"rural",,,,"1","Youth Parliament"
"54","01-01-1980 00:00:00","en","10","2","10","10","1","2","3","3","2","1","10","10","1","1","1","1","1","1","1","10","1","10","1","1","1","10","1","1","2","1","2","3","1","4","1","1","1","1","1","1","1","1","1","1","1","10","10",,,,,,,,"2","1991.0000000000","A1",,"9","1","2","1","Putin"
"55","01-01-1980 00:00:00","en","8","2","10","7","3","1","3","2","3","1","10","10","1","1","1","1","1","1","1","1","1","10","1","1","1","7","3","2","2","3","1",,"1","3","8","6","9","10","8","9","10","8","10","10","10","10","10","1","1","1","1","3","1","9","2","1992.0000000000","A1",,"8","1","2","1","Putin"
"56","01-01-1980 00:00:00","en","4","2","6","9","2",,"1","2","2","1","10",,"1","1","1","1","1","1","1","1","1","10","1","1","1","4","2","2","2","2","2","1","1","1","4","4","5","5","4","4","2","3","4","4","3","6","7","6","6","6","9","5","5","6","2","1987.0000000000","A4","city","9","1","2","1","Putin"
"57","01-01-1980 00:00:00","en","5","2","7","7",,"2","1","1","1","5","1","1","1","1","1","1","1","1","1","1","1","10","2","1","2","7","2","1","1","1","1","1","1","4","9","9","9","9","9","9","9","9","9","9","9","7","10","10","10","10","10","10",,,"2","1996.0000000000","A1","city","7","2","2","1","Putin"
"58","01-01-1980 00:00:00","en","10","2","1","10","1","1","2","2","2","3",,"3",,"1",,,"1","1",,"1","2","10","2","2","2","9","1","1","1","3","4","3","2","3","5","10","2","10","10","10","6","10",,"10","10","1","10","10","3","6","10","7","10","4","2","1995.0000000000","A1","city","9","1","1","1","Putin"
"59","01-01-1980 00:00:00","en","10","1","9","10","3","2","4","2","4","7","7","1","1","1","1","1","1","1","1","1","1","10","1","1","1","8","1","1","2","3","1","1","4","1","1","5","1","1","5","1","1","5","1","1","1","10","7","10","10","7","10","10","10","1","2","1993.0000000000","A1","city","8",,"2","1","Putin"
"60","01-01-1980 00:00:00","en","10","2","10","10",,,,,,,,,,,,,,,,,"1","10","1","1","1","10","1","1","1","2","1","4","1","4","10","1","10","10","10","10","10","10","1","1","10","10","10","10","1","10","1","1","1","10","2","1995.0000000000",,"rural","6","2","2","1","Putin"
"61","01-01-1980 00:00:00","en","5","2","9","3","3","2","2","3","2","1","1","5","1","1","1","1","1","1","2","1","1","10","1","1","1","5","2","1","3","3","1","1","3","1","2","1","10","10","4","2","10","10","7","10","9","7","7","2","1","1","1","1","1","5","2","1992.0000000000","A1","city","9","1","2","1","Putin"
"62","01-01-1980 00:00:00","en","10","2","9","4","2","2","3","2","3","8","10","1","1","1","1","1","1","1","1","1","1","10","2","1","1","9","2","2","3","3","1","3","3","4","7","1","10","10","1","5","4","8","4","10","10","10","3","10","10","8","10","10","10","7","2","1994.0000000000",,"russia","7","1","2","1","Putin"
"63","01-01-1980 00:00:00","en","7","2","5","2","1","1","3","4","4","3","1","1","1","1","1","5","1","1","1","1","1","10","2","1","1","9","1","1","1","3","4","3","2","3","5","10","2","10","10","10","5","10","5","10","10","1","10","10","3","7","10","7","10","4","2","1991.0000000000","A1","city","9","1","1","1","Putin"
"64","01-01-1980 00:00:00","en","10","1","9","10","1","3","3","2","2","1","5","5","1","1","1","2","1","2","1","1","1","10","3","1","1","5","2","3","2","4","1","3","1","2","10","7","10","10","6","10","10","10","10","10","8","10","5","1","10","5","4","1","2","7","2","1992.0000000000","A1","city","9","1","2","1","Legal Clinic"
"65","01-01-1980 00:00:00","en","5","2","7","5","3","2","3","2","3","2","5","5","1","1","1","2","1","3","1","1","1","10","3","1","1","8","2","3","2","3","2","3","1","2","7","1","10","10","5","10","10","6","5","8","9","8","5","2","9","6","4","1","3","6","1","1989.0000000000","A4",,"9","1","2","1","Legal Clinic"
"66","01-01-1980 00:00:00","en","9","1","10","9","2","2","3","2","3","1","9","1","1","1","1","2","1","1","1","1","1","10","3","1","1","9","2","3","2","4","1","3","1","2","9","5","10","10","2","10","10","10","10","10","9","10","5","1","9","8","7","3","2","9","1","1989.0000000000",,"rural","9","2","2","1","Legal Clinic"
"67","01-01-1980 00:00:00","en","6","1","9","9","1","3","3","3","4","1","5","6","1","1","1","2","1","3","1","1","1","10","3","1","1","8","2","3","2","4","1","3","1","2","10","5","10","10","2","10","10","10","10","10","9","10","4","1","10","5","4","2","2","6","1","1990.0000000000","A1","city","9","1","2","1","Legal Clinic"
"68","01-01-1980 00:00:00","en","4","1","5","4","3","3","3","2","2","4","5","1","1","2","1","3","1","1","1","1","1","10","3","1","2","4","2","3","2","4","1","1","2","3","7","3","10","9","1","6","9","6","10","7","3","10","2","1","7","6","4","5","5","5","1","1991.0000000000","A1","city","9","1","2","1","Legal Clinic"
"69","01-01-1980 00:00:00","en","3","2","8","3","1","2","3","3","2","1","8","8","1","1","1","1","1","2","1","1","1","10","2","1","1","6","2","3","2","4","1","1","2","1","7","9","10","10","4","10","10","10","10","10","9","10","5","1","10","6","3","2","2","5","2","1990.0000000000","A1","city","9","1","2","1","Legal Clinic"
"70","01-01-1980 00:00:00","en","8","1","8","7","1","3","3","3","3","1","8","7","1","1","1","2","1","2","1","1","1","10","3","1","1","6","2","4","2","4","1","3","1","2","9","6","10","10","2","10","10","10","10","10","9","10","4","1","10","7",,"1","1","6","1","1989.0000000000","A1","city","9","1",,"1","Legal Clinic"
"71","01-01-1980 00:00:00","en","8","2","8","6","2","1","2","2","3","1","6","4","4","3","1","10","6","4","3","1","1","10","3","1","2","8","2","3","4","4","1","1","1","1","8","5","10","10","5","10","10","5","5","5","8","9","6","5","10","10","7","1","6","5","2","1986.0000000000","A1","city","9","2","1","2","Legal Clinic"
"72","01-01-1980 00:00:00","en","2","1","5","7","4","4","4","4","4","5","5","5","1","5","1","5","1","5","1","1","1","6","4","1","4","2","3","4","2","4","2","1","4","1","1","1","10","10","10","10","10","10","10","6","3","7","1","2","1","1","1","1","10","10","1","1989.0000000000","A1",,,,,,"Sacita"
"73","01-01-1980 00:00:00","en","6","2","5","8","3","3","3","3","2","5","5",,"5","1","4","4","1","5","4","1","1","10","4","1","1","7","2","2","2","3","1","4","2","4","5","3","6","3","6","3","6",,"2","7","4","10","5","3","3","2","4","4","3","4","1","1989.0000000000",,"rural","9","1",,"1","Youth For Future"
"75","01-01-1980 00:00:00","en","8","2","5","5","3","3","4","3","3","5","5","1","1","1","1","1","1","1","5","1","1","10","2","1","1","3","3","3","2","3","2","3","2","3","10","7","10","10","6","10","10","10","10",,"5","10","2","1","1","5","1",,"8","1","1","1985.0000000000","A1","city",,,,,"Sacita"
"76","01-01-1980 00:00:00","en","10","2","10","5","2","4","3","3","3","5","6","4","1","1","1","1","1","1","4","1","1","10","2","1","1","3","2","4","2","3","1","3","2","1","10","3","10","10","10","10","10","8","7","10","6","10","3","1","1","5","1","2","9","5","1","1986.0000000000",,"city",,,,,"Sacita"
"77","01-01-1980 00:00:00","en","1","1","1","1","3","2","4","4","3","5","8","9","1","1","1","1","1","1","1","1","1","10","2","1","1","1","2","2","3","1","3","3","3","1","8","6","5","9","3","6","9","9","4","10","10","5","7",,,,,"4",,,"1","1988.0000000000","A1","city",,,,,
"78","01-01-1980 00:00:00","en","10","2","5","4","1","2","2","2","2","2","1","5","1","1","1","2","1","1","1","1","1","10","2","1","1","10","2","1","4","4","2",,"1","4","7","4","6","9","7","9","9","7","8","9","9","8","7","1","1","3","3","1","3","3","1","1994.0000000000","A1","city","7","2","1","1","Iman"
"79","01-01-1980 00:00:00","en","10","2","5","5","1","2","3","3","2","1","1","1","2","1","1","1","1","1","10","1","1","10","4","1","1","5","2","1",,,,"3","4","3","10","1","10","10","1","10","10","1","1","1","10","10","10","1",,"1","1","1","10","10","1","1984.0000000000","A1","city","7","2","1","1","Iman"
"80","01-01-1980 00:00:00","en",,"2","10","10","4","3","3","3","3","10","1","3","1","1","1","10","1","1",,"1","1","10","3","1","1","10","2","1","4","3","2","3","4","4","1","1","1","10","1","10","1","1","3","1","1","1","1","1","1","1",,,,,"1","1974.0000000000","A3","city","9","2","1","1","Iman"
"81","01-01-1980 00:00:00","en","10","2","10","7","1","2","3","3","2","1","2","9","1","1","1","3","1","1","1","1","1","10","2","1","1","10","1","4","4","4","1","1","1","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iman"
"82","01-01-1980 00:00:00","en","10","2","6","4","1","2","2","3","2","1","5","2","1","1","1","1","1","1","1","1","1","10","1","1","1","9","1","4","4","4","1","1","1","4","3","4","1","1","7","1","1","1","1","1","2","10","10","1","1","1","1","2","1","1","1","1992.0000000000","A1","city","9","1","2","1","Iman"
"83","01-01-1980 00:00:00","en","10","2","5","10","1",,,,,,,,,,,,,,,,"1","10","2","1","1","10","1","1",,,,"4","4","2",,,,,,,,,,,,"1","1","1",,,,,,,"1","1990.0000000000","A1","city","7","1","2","1","Iman"
"84","01-01-1980 00:00:00","en","10","2","5","1","1",,,,,,,"1","1",,"1",,"1","1",,"1","1","10","1","1","1","5","1","1",,"3","1","3","2","4","2","10",,,,,,,,"6","1","10","10","1","1","1","5",,"5","6","1","1982.0000000000","A1","city","9","2","2","1","Iman"
"85","01-01-1980 00:00:00","en","10","2","5","3","2","4","3","3","4",,,,"1",,"1",,"1","1",,"1","1","10",,"1","1","10","2","1","2","4","1","3","1","3",,"10",,,"10","1","1","1",,"5","1","10","10","10","1","10",,"10","1","9","1","1989.0000000000","A1","city","9","2",,"1","Iman"
"86","01-01-1980 00:00:00","en","10","2","5","4","1","2","4","2","1",,"5","5","1","1","1","1","1","1","1","1","1","10","1","1","1","10","1","4","3","2","1","1","1","1","7","5","5","8","5","7","10","10","10","6","10","7","10","10","10","10","10","10","1","1","1","1989.0000000000","A1","city","9","1","1","1","Iman"
